order_id,customer_id,product_id,category,price,discount,quantity,payment_method,order_date,delivery_time_days,region,returned,total_amount,shipping_cost,profit_margin,customer_age,customer_gender
ORD_10019,CUST_8567,PROD_384,Fashion,79.77,0.15,5,PayPal,2023-09-24 12:00:00,4,Asia Pacific,No,339.0,0.0,36.0,36,Female
ORD_10020,CUST_4246,PROD_842,Electronics,192.07,0.0,1,Credit Card,2023-12-28 02:00:00,1,Latin America,No,192.07,0.0,69.34,26,Female
ORD_10021,CUST_6481,PROD_196,Home,73.91,0.1,1,PayPal,2023-04-25 11:00:00,2,Asia Pacific,No,71.51,4.99,26.14,50,Female
ORD_10022,CUST_6347,PROD_342,Fashion,82.77,0.0,1,COD,2023-01-08 21:00:00,3,North America,No,82.77,0.0,10.76,37,Male
ORD_10023,CUST_6604,PROD_535,Beauty,42.64,0.15,3,Credit Card,2023-05-06 05:00:00,2,Latin America,No,108.72,0.0,33.26,45,Female
ORD_10024,CUST_6116,PROD_375,Home,57.24,0.0,1,Credit Card,2023-03-21 03:00:00,2,Europe,Yes,57.24,0.0,18.72,46,Male
ORD_10025,CUST_4533,PROD_651,Fashion,97.66,0.05,3,Debit Card,2023-02-22 19:00:00,3,North America,No,283.33,4.99,35.98,55,Male
ORD_10026,CUST_4075,PROD_372,Fashion,112.74,0.15,2,PayPal,2024-04-19 18:00:00,2,Europe,No,191.66,0.0,48.36,32,Female
ORD_10027,CUST_8312,PROD_814,Electronics,399.0,0.05,1,Credit Card,2023-05-29 04:00:00,2,North America,No,394.04,14.99,139.51,46,Male
ORD_10028,CUST_7369,PROD_603,Electronics,510.52,0.15,1,Debit Card,2023-06-12 02:00:00,2,Europe,No,433.94,0.0,91.28,63,Female
ORD_10029,CUST_7833,PROD_369,Beauty,67.07,0.2,3,Wallet,2024-01-04 06:00:00,3,North America,No,165.97,4.99,51.38,54,Female
ORD_10030,CUST_8426,PROD_488,Home,241.66,0.15,1,Credit Card,2024-08-27 06:00:00,3,Europe,No,205.41,0.0,66.55,39,Female
ORD_10031,CUST_5556,PROD_984,Electronics,776.86,0.0,1,Debit Card,2024-03-18 19:00:00,1,Europe,No,776.86,0.0,111.46,64,Female
ORD_10032,CUST_8414,PROD_529,Home,232.25,0.05,2,Credit Card,2024-01-02 08:00:00,4,North America,No,446.27,4.99,159.74,34,Female
ORD_10033,CUST_8250,PROD_372,Electronics,662.01,0.15,1,Credit Card,2024-03-15 19:00:00,1,Europe,No,562.71,0.0,108.56,62,Female
ORD_10034,CUST_6950,PROD_348,Home,117.93,0.0,1,Credit Card,2024-03-03 05:00:00,2,Asia Pacific,Yes,117.93,0.0,28.99,34,Female
ORD_10035,CUST_8304,PROD_190,Grocery,24.43,0.3,19,PayPal,2023-12-18 09:00:00,3,Europe,No,329.89,4.99,34.87,62,Female
ORD_10036,CUST_5045,PROD_557,Fashion,95.16,0.3,6,Credit Card,2024-03-02 09:00:00,4,North America,No,409.65,9.99,133.37,32,Male
ORD_10037,CUST_7396,PROD_308,Beauty,16.43,0.05,4,Credit Card,2024-04-04 00:00:00,4,North America,No,67.43,4.99,19.83,60,Male
ORD_10038,CUST_8570,PROD_205,Beauty,18.15,0.1,6,COD,2023-04-19 20:00:00,4,Europe,No,103.03,4.99,35.27,19,Male
ORD_10039,CUST_3482,PROD_881,Fashion,89.07,0.05,3,COD,2024-10-19 19:00:00,5,Asia Pacific,No,253.86,0.0,35.02,34,Male
ORD_10040,CUST_2938,PROD_480,Home,173.39,0.15,1,Credit Card,2024-12-15 23:00:00,5,Europe,No,152.37,4.99,23.12,23,Female
ORD_10041,CUST_6965,PROD_719,Home,204.89,0.2,1,PayPal,2024-05-23 14:00:00,3,Middle East,Yes,173.9,9.99,30.44,41,Male
ORD_10042,CUST_1478,PROD_311,Fashion,34.38,0.0,1,Credit Card,2023-12-09 18:00:00,1,Europe,No,34.38,0.0,5.2,69,Female
ORD_10043,CUST_8355,PROD_893,Beauty,75.57,0.1,4,PayPal,2024-08-28 21:00:00,1,Europe,No,272.04,0.0,89.52,27,Male
ORD_10044,CUST_2322,PROD_651,Beauty,26.68,0.05,3,PayPal,2023-05-12 08:00:00,1,Latin America,No,81.04,4.99,21.07,63,Female
ORD_10045,CUST_3299,PROD_477,Toys,15.03,0.25,6,Credit Card,2023-03-08 01:00:00,5,Europe,No,67.62,0.0,9.64,51,Male
ORD_10046,CUST_3114,PROD_786,Home,94.6,0.0,3,Credit Card,2023-06-14 07:00:00,2,Asia Pacific,No,293.79,9.99,98.96,49,Male
ORD_10047,CUST_2054,PROD_697,Fashion,99.9,0.3,3,Credit Card,2023-02-12 13:00:00,3,Europe,No,209.79,0.0,24.43,34,Female
ORD_10048,CUST_3508,PROD_715,Beauty,11.98,0.05,1,Debit Card,2024-04-30 13:00:00,3,North America,No,11.38,0.0,2.32,53,Male
ORD_10049,CUST_5064,PROD_460,Home,72.17,0.25,3,Credit Card,2024-03-26 05:00:00,4,North America,Yes,162.39,0.0,54.64,26,Male
ORD_10050,CUST_1329,PROD_451,Home,239.79,0.1,1,Credit Card,2024-07-13 01:00:00,3,North America,No,215.81,0.0,21.74,33,Male
ORD_10051,CUST_4369,PROD_773,Sports,20.93,0.1,3,Debit Card,2023-11-29 21:00:00,4,North America,No,56.52,0.0,16.29,61,Other
ORD_10052,CUST_1075,PROD_232,Toys,22.47,0.4,2,Debit Card,2024-02-08 20:00:00,4,North America,No,36.95,9.99,3.71,50,Male
ORD_10053,CUST_3013,PROD_345,Electronics,294.33,0.15,1,Debit Card,2024-06-25 06:00:00,3,Europe,No,250.18,0.0,33.85,41,Female
ORD_10054,CUST_8650,PROD_251,Fashion,112.01,0.0,2,COD,2023-10-14 09:00:00,2,Asia Pacific,No,234.01,9.99,60.57,54,Other
ORD_10055,CUST_5655,PROD_582,Beauty,69.58,0.0,2,Credit Card,2023-08-25 11:00:00,5,Europe,No,139.16,0.0,16.29,62,Female
ORD_10056,CUST_8763,PROD_689,Home,125.82,0.1,1,Debit Card,2023-01-07 17:00:00,5,Middle East,No,123.23,9.99,29.64,27,Female
ORD_10057,CUST_7245,PROD_622,Beauty,32.23,0.1,5,Debit Card,2023-06-29 01:00:00,3,Asia Pacific,No,150.04,4.99,45.54,51,Male
ORD_10058,CUST_7453,PROD_931,Fashion,114.16,0.0,2,Credit Card,2023-02-11 11:00:00,5,Latin America,No,233.31,4.99,59.11,24,Female
ORD_10059,CUST_1051,PROD_550,Fashion,34.77,0.0,1,Credit Card,2024-04-25 14:00:00,2,Latin America,No,44.76,9.99,14.89,48,Male
ORD_10060,CUST_1235,PROD_213,Electronics,407.62,0.1,1,Debit Card,2023-11-14 21:00:00,4,North America,No,371.85,4.99,131.02,37,Male
ORD_10061,CUST_6437,PROD_959,Home,116.24,0.1,4,Wallet,2023-02-12 08:00:00,3,Europe,No,423.47,4.99,128.86,47,Male
ORD_10062,CUST_8595,PROD_403,Electronics,751.4,0.0,1,COD,2023-12-22 09:00:00,1,Asia Pacific,No,761.39,9.99,269.58,37,Male
ORD_10063,CUST_5423,PROD_779,Beauty,62.91,0.1,6,Debit Card,2024-12-20 06:00:00,4,Europe,No,344.71,4.99,120.06,59,Male
ORD_10064,CUST_8588,PROD_924,Grocery,17.83,0.2,2,PayPal,2024-01-22 04:00:00,3,Europe,No,28.52,0.0,3.75,49,Female
ORD_10065,CUST_5225,PROD_133,Fashion,78.74,0.1,4,UPI,2024-05-22 17:00:00,2,Middle East,No,283.48,0.0,98.46,32,Female
ORD_10066,CUST_3772,PROD_683,Electronics,730.64,0.1,1,PayPal,2023-09-21 19:00:00,2,Middle East,No,662.57,4.99,220.28,64,Female
ORD_10067,CUST_6927,PROD_998,Electronics,673.42,0.0,1,UPI,2023-12-24 03:00:00,3,Europe,No,683.41,9.99,189.65,37,Female
ORD_10068,CUST_4709,PROD_606,Fashion,79.62,0.4,4,Credit Card,2023-10-28 08:00:00,2,Europe,No,201.07,9.99,36.43,46,Female
ORD_10069,CUST_3774,PROD_503,Electronics,736.49,0.1,1,COD,2023-08-08 20:00:00,3,Latin America,No,672.83,9.99,118.99,38,Female
ORD_10070,CUST_5291,PROD_391,Home,107.47,0.05,1,UPI,2024-11-16 08:00:00,3,North America,No,102.1,0.0,29.63,54,Female
ORD_10071,CUST_1672,PROD_648,Home,188.63,0.0,2,Credit Card,2024-11-06 16:00:00,3,Middle East,No,377.26,0.0,115.43,67,Female
ORD_10072,CUST_8658,PROD_216,Fashion,16.69,0.15,4,Wallet,2023-11-30 14:00:00,4,Latin America,No,61.75,4.99,7.85,53,Female
ORD_10073,CUST_3555,PROD_622,Beauty,50.81,0.0,1,Debit Card,2023-04-18 00:00:00,7,North America,No,50.81,0.0,15.62,64,Female
ORD_10074,CUST_3466,PROD_791,Toys,15.12,0.0,2,PayPal,2023-03-26 11:00:00,3,Europe,No,35.23,4.99,11.03,46,Male
ORD_10075,CUST_3981,PROD_506,Electronics,443.23,0.15,1,Credit Card,2023-04-23 07:00:00,3,Latin America,No,381.74,4.99,87.64,30,Male
ORD_10076,CUST_6891,PROD_391,Sports,60.4,0.1,3,PayPal,2024-10-04 14:00:00,7,Asia Pacific,No,168.07,4.99,51.78,49,Female
ORD_10077,CUST_6761,PROD_187,Electronics,335.51,0.0,1,Wallet,2023-08-08 02:00:00,2,Europe,No,335.51,0.0,98.68,26,Female
ORD_10078,CUST_4025,PROD_903,Fashion,98.18,0.2,1,PayPal,2023-10-08 16:00:00,1,North America,No,78.54,0.0,25.75,44,Female
ORD_10079,CUST_5578,PROD_346,Home,33.48,0.05,2,Debit Card,2023-01-17 07:00:00,4,North America,No,68.61,4.99,20.04,46,Female
ORD_10080,CUST_7293,PROD_541,Fashion,71.43,0.0,1,PayPal,2024-08-05 18:00:00,2,North America,No,76.42,4.99,25.8,54,Female
ORD_10081,CUST_4381,PROD_620,Electronics,158.66,0.05,1,Credit Card,2024-06-11 18:00:00,3,Latin America,No,150.73,0.0,56.61,33,Other
ORD_10082,CUST_2719,PROD_878,Fashion,75.19,0.0,1,UPI,2023-09-03 12:00:00,3,North America,No,85.18,9.99,18.0,47,Male
ORD_10083,CUST_1442,PROD_229,Toys,40.95,0.4,1,Credit Card,2023-05-29 09:00:00,4,Asia Pacific,No,24.57,0.0,4.95,38,Female
ORD_10084,CUST_5953,PROD_882,Electronics,186.56,0.15,1,Debit Card,2023-09-15 16:00:00,3,Europe,No,158.58,0.0,50.96,68,Female
ORD_10085,CUST_8594,PROD_475,Beauty,10.42,0.0,3,Credit Card,2023-12-16 16:00:00,4,Europe,No,31.26,0.0,3.69,65,Female
ORD_10086,CUST_2988,PROD_378,Beauty,15.98,0.0,3,Credit Card,2024-06-28 11:00:00,3,Middle East,No,57.93,9.99,7.09,40,Male
ORD_10087,CUST_1671,PROD_447,Electronics,567.21,0.1,1,UPI,2024-09-28 01:00:00,1,Europe,No,510.49,0.0,188.23,63,Other
ORD_10088,CUST_6488,PROD_881,Fashion,54.91,0.15,4,Credit Card,2023-04-13 06:00:00,7,Asia Pacific,No,186.68,0.0,35.7,35,Male
ORD_10089,CUST_5491,PROD_903,Electronics,329.67,0.15,1,Wallet,2024-05-08 05:00:00,3,Middle East,No,285.21,4.99,66.34,49,Male
ORD_10090,CUST_7988,PROD_526,Electronics,568.92,0.05,1,Wallet,2024-08-07 23:00:00,7,North America,No,545.46,4.99,181.55,39,Female
ORD_10091,CUST_6458,PROD_202,Electronics,422.85,0.1,1,Credit Card,2024-04-01 21:00:00,3,Latin America,Yes,380.57,0.0,60.62,39,Female
ORD_10092,CUST_7566,PROD_520,Electronics,527.81,0.0,1,Debit Card,2024-02-11 18:00:00,4,North America,No,527.81,0.0,101.26,63,Other
ORD_10093,CUST_6533,PROD_860,Electronics,739.5,0.4,1,Credit Card,2023-07-30 16:00:00,3,Middle East,No,443.7,0.0,102.34,63,Male
ORD_10094,CUST_4642,PROD_491,Electronics,430.15,0.2,1,Credit Card,2024-09-14 20:00:00,2,Europe,No,344.12,0.0,129.3,49,Male
ORD_10095,CUST_6500,PROD_687,Home,166.75,0.05,3,Debit Card,2023-12-04 22:00:00,3,North America,No,475.23,0.0,155.74,41,Male
ORD_10096,CUST_3589,PROD_931,Fashion,82.17,0.0,2,Credit Card,2024-07-27 21:00:00,1,North America,No,169.33,4.99,45.71,64,Male
ORD_10097,CUST_1360,PROD_830,Toys,35.8,0.1,2,PayPal,2024-12-26 12:00:00,2,North America,Yes,69.43,4.99,16.28,42,Male
ORD_10098,CUST_8901,PROD_878,Electronics,548.33,0.25,1,Credit Card,2023-01-21 22:00:00,1,Asia Pacific,No,416.24,4.99,46.55,59,Male
ORD_10099,CUST_1502,PROD_580,Home,211.9,0.15,4,Credit Card,2023-10-15 22:00:00,1,Asia Pacific,No,720.48,0.0,226.51,49,Female
ORD_10100,CUST_8347,PROD_624,Toys,50.01,0.0,1,COD,2024-06-12 13:00:00,2,North America,No,55.0,4.99,7.29,46,Male
ORD_10101,CUST_8211,PROD_520,Electronics,92.95,0.05,1,Credit Card,2023-01-09 14:00:00,4,Europe,No,98.29,9.99,31.86,45,Female
ORD_10102,CUST_8490,PROD_303,Home,238.91,0.15,1,COD,2024-10-25 22:00:00,5,Europe,No,203.07,0.0,32.16,64,Female
ORD_10103,CUST_4191,PROD_494,Fashion,103.96,0.0,3,Wallet,2024-12-19 15:00:00,3,Europe,No,316.87,4.99,76.87,61,Female
ORD_10104,CUST_3829,PROD_540,Toys,58.47,0.15,1,Credit Card,2023-12-31 19:00:00,3,Asia Pacific,No,49.7,0.0,17.09,54,Female
ORD_10105,CUST_3539,PROD_717,Beauty,23.59,0.1,2,COD,2024-05-30 23:00:00,5,Europe,No,42.46,0.0,11.73,25,Male
ORD_10106,CUST_2049,PROD_811,Fashion,71.32,0.0,4,UPI,2024-09-09 12:00:00,1,Middle East,No,285.28,0.0,71.59,46,Male
ORD_10107,CUST_6603,PROD_835,Beauty,40.79,0.15,4,Wallet,2023-11-12 14:00:00,3,Asia Pacific,No,153.67,14.99,28.23,47,Female
ORD_10108,CUST_3353,PROD_360,Home,106.7,0.05,2,Credit Card,2023-09-23 14:00:00,3,Middle East,No,212.71,9.99,36.36,41,Female
ORD_10109,CUST_4733,PROD_170,Fashion,57.68,0.0,1,UPI,2023-03-11 22:00:00,3,North America,No,57.68,0.0,20.87,33,Female
ORD_10110,CUST_8351,PROD_227,Sports,173.42,0.25,2,COD,2023-02-14 03:00:00,2,North America,No,260.12,0.0,38.09,37,Female
ORD_10111,CUST_8144,PROD_277,Beauty,58.89,0.15,2,Credit Card,2024-11-05 22:00:00,4,Asia Pacific,No,100.12,0.0,28.72,19,Female
ORD_10112,CUST_7779,PROD_583,Electronics,293.56,0.15,1,Credit Card,2024-02-18 02:00:00,4,Europe,Yes,254.52,4.99,40.17,56,Male
ORD_10113,CUST_1769,PROD_767,Sports,83.17,0.05,2,UPI,2024-03-26 17:00:00,1,North America,No,158.02,0.0,44.32,70,Male
ORD_10114,CUST_1929,PROD_338,Fashion,64.19,0.15,4,Credit Card,2024-03-31 01:00:00,2,Asia Pacific,Yes,233.23,14.99,42.46,68,Female
ORD_10115,CUST_3747,PROD_998,Beauty,35.69,0.15,1,Credit Card,2024-02-12 21:00:00,4,Middle East,No,30.34,0.0,3.64,55,Female
ORD_10116,CUST_2490,PROD_139,Fashion,37.06,0.0,1,Debit Card,2024-11-10 16:00:00,1,Europe,No,37.06,0.0,6.46,47,Female
ORD_10117,CUST_4046,PROD_976,Toys,30.64,0.25,8,COD,2024-04-13 20:00:00,4,North America,No,188.83,4.99,59.27,33,Male
ORD_10118,CUST_7251,PROD_131,Beauty,15.57,0.2,6,COD,2023-04-23 05:00:00,2,Asia Pacific,No,79.75,4.99,24.25,67,Female
ORD_10119,CUST_5196,PROD_400,Home,216.52,0.0,2,PayPal,2024-08-03 11:00:00,1,North America,No,433.04,0.0,74.76,55,Female
ORD_10120,CUST_5323,PROD_807,Grocery,29.4,0.05,1,Debit Card,2023-06-01 03:00:00,5,Europe,No,32.92,4.99,11.84,57,Male
ORD_10121,CUST_1139,PROD_312,Fashion,108.65,0.0,1,Debit Card,2024-11-04 05:00:00,4,Latin America,No,108.65,0.0,13.5,22,Male
ORD_10122,CUST_7802,PROD_613,Electronics,384.43,0.05,1,UPI,2024-02-28 21:00:00,2,Europe,Yes,375.2,9.99,138.24,55,Male
ORD_10123,CUST_3875,PROD_504,Home,169.78,0.15,1,Debit Card,2024-03-02 06:00:00,2,Europe,No,144.31,0.0,51.21,65,Male
ORD_10124,CUST_1963,PROD_489,Fashion,100.05,0.0,10,PayPal,2024-10-16 11:00:00,5,Middle East,No,1000.5,0.0,346.24,45,Male
ORD_10125,CUST_4338,PROD_211,Fashion,48.06,0.1,4,Credit Card,2024-04-23 22:00:00,4,North America,No,173.0,0.0,17.57,25,Male
ORD_10126,CUST_5065,PROD_610,Home,165.68,0.2,3,Debit Card,2023-02-24 10:00:00,2,Europe,No,407.61,9.99,75.57,41,Female
ORD_10127,CUST_6151,PROD_679,Home,120.79,0.05,1,UPI,2023-10-10 08:00:00,4,North America,No,114.75,0.0,30.02,51,Male
ORD_10128,CUST_3622,PROD_485,Fashion,54.24,0.15,1,Credit Card,2024-01-30 18:00:00,1,Asia Pacific,No,46.1,0.0,4.95,60,Male
ORD_10129,CUST_2430,PROD_566,Sports,165.83,0.0,1,Credit Card,2023-11-10 14:00:00,1,Asia Pacific,No,165.83,0.0,43.39,49,Female
ORD_10130,CUST_4710,PROD_597,Beauty,53.69,0.1,5,Debit Card,2023-08-19 10:00:00,4,North America,No,251.59,9.99,71.16,31,Female
ORD_10131,CUST_5860,PROD_184,Toys,40.42,0.25,4,COD,2023-06-06 04:00:00,2,Europe,No,121.28,0.0,41.74,39,Female
ORD_10132,CUST_5580,PROD_132,Toys,16.16,0.05,2,PayPal,2024-07-18 09:00:00,2,North America,No,30.7,0.0,5.25,70,Male
ORD_10133,CUST_2292,PROD_956,Electronics,310.19,0.1,1,Debit Card,2023-01-28 15:00:00,4,North America,No,279.17,0.0,92.7,65,Female
ORD_10134,CUST_6503,PROD_209,Beauty,68.89,0.15,2,Credit Card,2023-03-25 06:00:00,3,North America,No,122.11,4.99,15.24,57,Other
ORD_10135,CUST_1754,PROD_892,Fashion,37.42,0.15,2,COD,2023-11-30 02:00:00,4,Europe,No,63.62,0.0,18.16,55,Female
ORD_10136,CUST_3579,PROD_500,Sports,184.92,0.0,1,Credit Card,2023-05-18 16:00:00,2,Europe,No,194.91,9.99,40.63,59,Male
ORD_10137,CUST_7171,PROD_921,Beauty,68.23,0.15,1,PayPal,2024-07-29 08:00:00,3,Europe,No,62.99,4.99,20.4,36,Male
ORD_10138,CUST_6364,PROD_694,Electronics,250.71,0.0,1,Credit Card,2023-10-02 09:00:00,3,Middle East,No,255.7,4.99,62.39,64,Male
ORD_10139,CUST_8269,PROD_503,Toys,13.63,0.1,2,Debit Card,2024-04-30 09:00:00,3,North America,No,24.54,0.0,7.64,44,Male
ORD_10140,CUST_2950,PROD_951,Beauty,21.87,0.0,4,Debit Card,2023-03-10 04:00:00,3,Europe,No,97.47,9.99,29.2,53,Female
ORD_10141,CUST_6865,PROD_403,Grocery,10.75,0.15,5,Credit Card,2024-12-12 18:00:00,5,Europe,No,50.69,4.99,5.4,23,Female
ORD_10142,CUST_8822,PROD_597,Electronics,228.31,0.0,1,Credit Card,2023-07-17 09:00:00,3,Europe,Yes,233.3,4.99,84.05,39,Male
ORD_10143,CUST_5427,PROD_893,Sports,20.8,0.15,3,PayPal,2024-08-29 11:00:00,1,North America,Yes,58.03,4.99,6.7,37,Female
ORD_10144,CUST_2779,PROD_982,Beauty,60.07,0.0,6,COD,2024-08-01 05:00:00,4,Europe,Yes,370.41,9.99,71.2,41,Male
ORD_10145,CUST_8874,PROD_958,Home,244.73,0.0,1,COD,2023-02-05 14:00:00,5,Europe,No,249.72,4.99,63.93,32,Female
ORD_10146,CUST_6592,PROD_575,Sports,67.27,0.2,1,COD,2023-09-01 23:00:00,2,North America,No,53.82,0.0,15.74,32,Male
ORD_10147,CUST_5564,PROD_774,Beauty,11.14,0.0,5,Credit Card,2023-11-05 00:00:00,3,Europe,No,55.7,0.0,9.05,49,Female
ORD_10148,CUST_7236,PROD_396,Beauty,74.28,0.0,5,Debit Card,2024-08-04 05:00:00,2,North America,No,371.4,0.0,78.99,18,Male
ORD_10149,CUST_6297,PROD_440,Fashion,36.65,0.2,4,Credit Card,2023-08-30 07:00:00,2,Europe,No,117.28,0.0,31.28,25,Female
ORD_10150,CUST_7631,PROD_175,Sports,19.23,0.0,2,UPI,2023-07-25 11:00:00,2,Middle East,No,43.45,4.99,10.19,48,Female
ORD_10151,CUST_3528,PROD_194,Beauty,25.69,0.25,1,PayPal,2023-01-09 10:00:00,3,Europe,No,29.26,9.99,6.11,21,Male
ORD_10152,CUST_8542,PROD_481,Sports,35.89,0.0,2,COD,2024-04-21 23:00:00,2,North America,No,71.78,0.0,16.69,69,Male
ORD_10153,CUST_4411,PROD_712,Fashion,91.23,0.15,1,Credit Card,2024-06-12 16:00:00,3,Asia Pacific,No,87.54,9.99,11.02,39,Female
ORD_10154,CUST_4322,PROD_871,Fashion,15.17,0.1,5,Credit Card,2023-07-02 21:00:00,2,Europe,No,83.24,14.99,9.23,23,Male
ORD_10155,CUST_6658,PROD_577,Electronics,381.01,0.15,1,PayPal,2023-04-07 23:00:00,1,North America,No,328.85,4.99,105.85,67,Male
ORD_10156,CUST_6433,PROD_593,Beauty,44.44,0.15,2,Credit Card,2023-11-30 12:00:00,3,Europe,No,80.53,4.99,9.66,55,Female
ORD_10157,CUST_6178,PROD_402,Fashion,97.34,0.05,4,Credit Card,2023-11-21 01:00:00,1,Europe,No,374.87,4.99,58.13,33,Female
ORD_10158,CUST_5586,PROD_607,Fashion,69.85,0.3,8,Credit Card,2023-01-09 05:00:00,3,North America,No,391.2,0.0,53.62,26,Female
ORD_10159,CUST_8569,PROD_580,Beauty,18.73,0.1,3,Credit Card,2023-03-22 10:00:00,7,Europe,No,60.57,9.99,22.47,28,Female
ORD_10160,CUST_6143,PROD_534,Fashion,59.78,0.4,2,Debit Card,2024-05-05 14:00:00,2,North America,No,71.74,0.0,12.56,47,Female
ORD_10161,CUST_2061,PROD_582,Toys,56.6,0.05,1,Credit Card,2024-09-20 15:00:00,5,North America,No,53.77,0.0,19.99,47,Male
ORD_10162,CUST_8405,PROD_913,Home,74.46,0.1,3,Debit Card,2024-01-25 03:00:00,2,North America,No,206.02,4.99,54.68,45,Male
ORD_10163,CUST_7559,PROD_450,Grocery,12.58,0.1,4,Debit Card,2024-04-27 21:00:00,1,Europe,No,45.28,0.0,6.53,18,Male
ORD_10164,CUST_5669,PROD_990,Electronics,704.94,0.1,1,Debit Card,2024-10-16 12:00:00,1,Europe,No,634.45,0.0,101.31,33,Female
ORD_10165,CUST_1437,PROD_923,Fashion,97.53,0.15,6,UPI,2024-12-11 03:00:00,2,Asia Pacific,No,502.39,4.99,59.97,40,Male
ORD_10166,CUST_4209,PROD_618,Fashion,46.03,0.0,4,Wallet,2023-04-28 03:00:00,2,North America,No,194.11,9.99,53.38,31,Female
ORD_10167,CUST_4377,PROD_859,Beauty,59.59,0.0,1,Debit Card,2024-08-16 11:00:00,2,Latin America,No,59.59,0.0,21.53,30,Male
ORD_10168,CUST_5595,PROD_364,Electronics,113.84,0.0,2,Debit Card,2023-09-30 18:00:00,2,North America,No,227.68,0.0,42.9,27,Male
ORD_10169,CUST_3430,PROD_284,Fashion,72.01,0.1,9,Credit Card,2023-03-24 18:00:00,7,North America,No,593.28,9.99,119.05,49,Female
ORD_10170,CUST_1276,PROD_402,Toys,53.29,0.2,1,Debit Card,2023-12-14 10:00:00,3,Asia Pacific,No,42.63,0.0,10.07,35,Male
ORD_10171,CUST_3804,PROD_322,Electronics,681.89,0.1,1,PayPal,2024-04-20 11:00:00,4,Europe,Yes,618.69,4.99,116.48,65,Female
ORD_10172,CUST_6087,PROD_279,Beauty,24.2,0.05,2,Credit Card,2023-05-02 07:00:00,4,North America,No,50.97,4.99,12.36,56,Male
ORD_10173,CUST_2046,PROD_828,Beauty,47.32,0.15,5,PayPal,2023-03-14 06:00:00,3,North America,No,206.09,4.99,67.02,69,Female
ORD_10174,CUST_5754,PROD_841,Electronics,348.85,0.05,1,PayPal,2023-12-28 16:00:00,2,North America,No,336.4,4.99,68.98,45,Male
ORD_10175,CUST_8467,PROD_842,Beauty,49.26,0.2,2,PayPal,2023-08-28 23:00:00,2,North America,No,83.81,4.99,17.77,34,Female
ORD_10176,CUST_8811,PROD_177,Home,37.27,0.0,2,PayPal,2023-04-10 09:00:00,2,North America,No,79.53,4.99,11.63,25,Male
